Time,Country,CO2 emissions (kg per PPP $ of GDP),CO2,CO2 emissions (metric tons per capita),"from electricity and heat production, total (% of total fuel combustion)",from gaseous fuel consumption (% of total),from gaseous fuel consumption (kt) ,from liquid fuel consumption (% of total),from liquid fuel consumption (kt), from manufacturing industries and construction (% of total fuel combustion),"from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",from residential buildings and commercial and public services (% of total fuel combustion),from solid fuel consumption (% of total),from solid fuel consumption (kt),from transport (% of total fuel combustion),CO2 intensity (kg per kg of oil equivalent energy use),Pop
1996,India,0.515864209,882324.204,0.898163092,52.46165064,4.508503317,39779.616,27.58174987,243360.455,20.97331749,5.849627309,9.399643513,63.24954699,558066.062,11.31576105,2.306373732,982365243
1996,Indonesia,0.265958126,253290.691,1.267079215,36.12846089,31.21190624,79056.853,49.24500166,124733.005,23.64594015,2.9318542,11.85326746,10.88992805,27583.174,25.4404773,1.867972728,199901228
1996,Italy,0.3260633,425830.375,7.48906561,36.52145513,24.77674919,105506.924,61.30548977,261057.397,16.80233142,2.42940408,16.95558235,10.01420883,42643.543,27.29122701,2.678344483,56860281
1996,Japan,0.390759227,1204690.174,9.579507892,42.59289003,10.68817309,128759.371,57.61775467,694115.429,22.52917871,0.329264375,12.56736981,27.78230986,334690.757,21.98218939,2.389812819,125757000
1996,Mexico,0.40976274,346417.823,3.719042582,41.76841276,18.12763975,62797.375,68.4256211,237038.547,18.00249442,1.854404621,8.277537088,7.279636706,25217.959,30.09715111,2.572069981,93147044
1996,Russian Federation,1.972983451,1612966.62,10.88665067,64.54534699,45.19960897,729054.605,22.00222798,354888.593,10.64296888,2.565434014,10.32023558,31.24676033,503999.814,11.92601454,2.559990248,148160042
1996,Saudi Arabia,0.410181102,258750.854,13.59425035,47.95813062,30.64113829,79284.207,65.49984411,169481.406,22.62519043,0,1.484102413,0,0,27.94240503,2.860438226,19033845
1996,South Africa,1.232245485,364400.791,8.626706188,65.81719712,0.970082417,3534.988,8.782063538,32001.909,15.32754655,2.06988649,4.054455078,89.01613114,324375.486,12.72720528,3.443928412,42241011
1996,Turkey,0.395021381,188205.108,3.167194771,34.16592328,8.502844673,16002.788,43.08705479,81092.038,24.82902171,4.840915849,14.17781742,39.01683423,73431.675,21.99226881,2.812332848,59423282
1996,United Kingdom,0.435672212,551436.126,9.480231059,41.83967921,31.54982777,173977.148,36.52728458,201424.643,12.74733923,1.701394094,21.07255284,29.92658501,165026.001,22.64090841,2.443470123,58166950
1996,United States,0.65056766,5252112.088,19.49602474,47.87639251,21.94232348,1152435.424,40.63992392,2134454.357,9.289109676,0.897360883,11.78233119,36.37108801,1910250.31,30.15499696,2.485321385,269394000
1997,Argentina,0.327909991,138003.878,3.870270007,28.65443425,44.60328426,61554.262,48.49338364,66922.75,21.38379205,6.162079511,12.75993884,2.014136153,2779.586,31.03211009,2.38624288,35657429
1997,Australia,0.720053512,305794.797,16.51427321,56.13907765,12.67762708,38767.524,29.24656138,89434.463,15.65283367,1.30632711,3.351586726,56.85745464,173867.138,23.54357723,3.019283538,18517000
1997,Brazil,0.209136233,300547.32,1.797434636,14.4693311,3.926305515,11800.406,72.75622255,218666.877,25.96493897,6.084344222,7.635851998,15.86383602,47678.334,45.84933643,1.685853095,167209040
1997,Canada,0.65805984,495294.356,16.56173401,33.6970153,32.81532265,162532.441,43.44478337,215179.56,16.93629295,2.067134855,17.02825851,21.57357775,106852.713,30.27129839,2.055763799,29905948
1997,China,1.236308271,3469510.048,2.820567891,45.69118558,1.273801874,44194.684,16.09501302,558418.094,33.06440515,4.074176013,11.47113466,75.27553945,2611692.405,5.698754559,3.23550035,1230075000
1997,France,0.263598883,351562.624,5.862811599,16.01504616,20.41576268,71774.191,61.29735481,215498.589,20.20118546,3.322694631,24.95440556,15.48105808,54425.614,35.50666819,1.447882182,59964851
1997,Germany,0.426508928,862276.715,10.5111126,43.78596491,19.11033618,164783.979,39.5368815,340917.323,12.6502924,2.148538012,21.56023392,38.97935317,336109.886,19.85614035,2.500646907,82034771
1997,India,0.506914182,917685.085,0.916859884,51.53463001,5.019280334,46061.187,26.63243492,244401.883,21.74475332,6.052729298,9.682830326,63.61151625,583753.397,10.98377659,2.307272817,1000900030
1997,Indonesia,0.274723511,278658.997,1.373879011,37.55395683,29.46533142,82107.797,51.67059257,143984.755,23.23317816,2.606855692,10.94371562,10.55519733,29413.007,25.66229369,1.988240903,202826446
1997,Italy,0.317686529,430487.465,7.566965198,36.7957922,25.26427872,108759.553,60.81434473,261798.131,17.19264134,2.335726393,16.2005185,10.01575876,43116.586,27.47781434,2.669685765,56890372
1997,Japan,0.378815006,1200788.486,9.525758078,42.63924777,11.17517361,134190.198,56.29149387,675941.777,22.18992248,0.306847545,12.66957364,28.71482755,344804.343,22.19530577,2.357179621,126057000
1997,Mexico,0.402417102,369769.279,3.908311625,43.79548481,17.80199728,65826.317,68.26164999,252410.611,17.01402868,1.864296553,7.692545911,6.922062338,25595.66,29.63364405,2.609016334,94611002
1997,Russian Federation,1.809978999,1526011.049,10.31678925,64.36514276,46.76160107,713587.199,21.99006601,335570.837,10.54596096,2.536459843,10.77995433,29.72194922,453560.229,11.77318903,2.5350315,147915307
1997,Saudi Arabia,0.333300548,216239.323,11.1422549,50.08265266,38.17429497,82547.837,57.39286744,124105.948,20.3714508,0,1.487747958,0,0,28.05814858,2.506712153,19407142
1997,South Africa,1.251067127,386131.433,8.982420083,65.96014365,0.817671583,3157.287,11.53002403,44521.047,15.85803817,1.816773467,3.964509542,86.38733511,333568.655,12.40053517,3.553257004,42987461
1997,Turkey,0.381229318,198535.047,3.288497634,35.75035461,9.62302137,19105.07,39.95862655,79331.878,25.68510638,4.584397163,14.4964539,41.27186421,81939.115,19.48368794,2.819773743,60372568
1997,United Kingdom,0.393858184,527343.936,9.042720853,41.21968853,33.10316533,174567.535,36.63009012,193166.559,13.06055455,1.531938175,20.36266291,28.28284935,149147.891,23.82515583,2.404523392,58316954
1997,United States,0.6259028,5368715.354,19.69036318,48.93302005,21.62688465,1161085.877,40.76685277,2188656.284,9.387496433,0.878155262,11.11601137,36.56621099,1963135.784,29.68513158,2.515189271,272657000
1998,Argentina,0.316337207,139815.376,3.876926392,29.14450355,44.1040705,61664.272,49.80329417,69632.663,21.15839243,5.681146572,12.62559102,2.032626941,2841.925,31.38297872,2.337616603,36063459
1998,Australia,0.69991697,316883.805,16.93569585,58.80481779,12.73158595,40344.334,27.51605624,87193.926,14.69116739,1.247683755,3.211859172,58.50836082,185403.52,22.0444719,3.049469318,18711000
1998,Brazil,0.21416404,312289.054,1.839317927,14.34326262,3.965383622,12383.459,73.35079026,229066.489,25.9516594,5.255377338,7.568926011,14.92449684,46607.57,46.88077463,1.710676587,169785250
1998,Canada,0.640633187,506533.711,16.79757271,36.22988031,30.80002606,156012.515,44.28630378,224325.058,16.16178291,1.962443252,15.22080066,22.50946552,114018.031,30.42715642,2.113328275,30155173
1998,China,1.086259559,3324344.519,2.67674598,46.98918888,1.520367721,50542.261,16.83699977,559719.879,34.12852661,4.23877134,9.256623184,73.60165991,2446772.747,5.386889979,3.07898945,1241935000
1998,France,0.268472613,377444.31,6.271267469,19.02626349,20.27494414,76526.623,60.11949869,226917.627,18.16692626,3.697835544,24.44545894,17.02904887,64275.176,34.66351576,1.510556506,60186288
1998,Germany,0.410563733,855364.42,10.42527316,44.19664467,19.47397754,166573.475,39.72262711,339773.219,12.5087071,2.090884405,20.80731042,38.33490526,327903.14,20.39763403,2.495700049,82047195
1998,India,0.481612724,936221.77,0.918329424,52.72557811,5.087932318,47634.33,28.10309036,263107.25,22.39155625,4.501486221,9.20323442,61.92706905,579774.702,11.17814499,2.298703657,1019483581
1998,Indonesia,0.240378831,214200.471,1.041200125,40.5630093,22.44021023,48067.036,52.87864003,113266.296,21.4297473,2.691579554,10.95563421,14.98639002,32100.918,24.36002963,1.562493987,205724592
1998,Italy,0.310044309,440153.677,7.734648761,36.7928882,26.60312753,117094.644,59.18720997,260514.681,16.68893153,2.288018265,16.68407374,10.18570203,44832.742,27.54365937,2.655265541,56906744
1998,Japan,0.365319577,1157829.581,9.160044153,43.29434518,11.85077737,137211.806,56.63435136,655729.273,20.16301345,0.309449254,13.62037208,28.01138901,324324.148,22.61282004,2.315699307,126400000
1998,Mexico,0.398166487,389087.035,4.050613546,45.97115218,18.28566043,71147.134,67.97794637,264493.376,16.31813706,1.737820773,7.501593002,6.756514773,26288.723,28.46840063,2.670832749,96056321
1998,Russian Federation,1.853099435,1495505.276,10.12729917,64.51310129,47.62326275,712208.407,22.0919113,330385.699,9.513279056,1.696590465,10.31464429,28.59587865,427652.874,13.9623849,2.543587645,147670692
1998,Saudi Arabia,0.307644419,207680.545,10.49776847,49.99772903,40.43259469,83970.633,55.37741679,115008.121,22.26461371,0,1.430712631,0,0,26.29786074,2.259101131,19783304
1998,South Africa,1.204193475,377726.669,8.647141174,66.5821831,0.703835662,2658.575,11.81376023,44623.723,16.28591979,1.513854163,3.668185088,86.32908443,326087.975,11.94985786,3.498774719,43682260
1998,Turkey,0.359617704,200614.236,3.271079338,38.15149802,10.21240038,20487.529,37.62886598,75488.862,26.56302996,4.522328999,12.83210854,42.55867515,85378.761,17.92538157,2.796080319,61329676
1998,United Kingdom,0.386746396,531905.684,9.094403914,41.92678003,34.17946667,181802.526,36.37316273,193470.92,12.47767684,1.519916143,20.55672024,27.41775363,145836.59,23.52084789,2.401411005,58487141
1998,United States,0.59595266,5401010.623,19.5792362,49.31190882,21.14981034,1142303.503,41.40381799,2236224.608,9.466332286,0.804065758,10.1276459,36.55382794,1974276.13,30.29004724,2.508969106,275854000
1999,Argentina,0.339311392,146984.361,4.030588815,31.87365398,46.04196293,67674.485,49.03325599,72071.218,19.72720747,5.5994257,13.28786791,1.466956066,2156.196,29.50466619,2.416094033,36467218
1999,Australia,0.68041679,325343.574,17.19029769,59.05856596,12.92464101,42049.489,27.40132098,89148.437,14.42559144,1.258894362,3.132031868,58.29557494,189660.907,22.12491638,3.064035914,18926000
1999,Brazil,0.21543766,320173.104,1.85802905,16.21727936,4.348772219,13923.599,72.7849551,233037.85,26.44471463,5.231726506,7.69560864,15.0597856,48217.383,44.41424689,1.714991903,172318675
1999,Canada,0.61100712,515389.516,16.95288535,35.81983949,31.61624498,162946.812,44.1863278,227731.701,15.98035054,1.981118726,15.66701033,22.07786664,113787.01,30.55370247,2.091008777,30401286
1999,China,0.992661434,3318055.614,2.648649247,49.40447454,1.64603323,54616.298,17.99971708,597240.623,30.04972482,4.58109767,9.813583636,71.74202789,2380440.384,6.151119326,3.014883637,1252735000
1999,France,0.250875579,368918.535,6.098157837,17.68943218,21.15004224,78026.426,60.54371055,223356.97,17.9895768,3.762722039,25.23124778,15.57278465,57450.889,35.32974979,1.478869646,60496718
1999,Germany,0.38003425,822460.429,10.01775877,44.07935904,20.04886596,164893.989,39.44544267,324423.157,12.4707066,1.479700134,20.17594444,37.96920909,312281.72,21.79428978,2.455373145,82100243
1999,India,0.463916386,995766.516,0.959258891,53.73852515,4.253023407,42350.183,28.66970112,285483.284,21.50498704,4.880754946,8.981336572,62.26781269,620042.029,10.8943963,2.311676141,1038058156
1999,Indonesia,0.265597263,241988.997,1.159977954,36.4214939,34.59714203,83721.277,43.86204179,106141.315,25.88795732,3.368902439,11.92835366,15.37179312,37198.048,22.39710366,1.685099936,208615169
1999,Italy,0.304162197,441998.178,7.765755082,35.29454023,28.79436508,127270.569,56.89846848,251490.194,17.21743295,2.19348659,17.45929119,10.09756583,44631.057,27.83524904,2.62595101,56916317
1999,Japan,0.373092954,1196516.431,9.448842945,43.89197734,12.14184797,145279.206,55.34136497,662168.525,19.99804629,0.287728895,13.68932384,29.17776354,349116.735,22.13292365,2.355600463,126631000
1999,Mexico,0.384440316,391591.596,4.016948975,45.46889425,17.84001948,69860.017,69.36453534,271625.691,15.43524226,1.971470264,7.02820215,6.645877814,26024.699,30.09619107,2.612611535,97484832
1999,Russian Federation,1.758552956,1531130.181,10.40068271,63.59137504,47.05359688,720451.823,21.14728303,323792.433,9.866993811,1.673147166,11.14368688,29.99379705,459244.079,13.72479709,2.514208666,147214392
1999,Saudi Arabia,0.343618851,226459.252,11.21389236,49.74127637,36.41751409,82470.83,59.72537081,135253.628,23.14360267,0,1.410817744,0,0,25.70430322,2.419692796,20194527
1999,South Africa,1.151591769,375236.776,8.462992931,67.23911617,0.926432648,3476.316,8.18544289,30714.792,14.88368701,1.46940859,3.518559032,89.81608162,337022.969,12.8892292,3.434204918,44338543
1999,Turkey,0.360741791,196771.22,3.159085617,40.60201426,12.32761834,24257.205,39.17815878,77091.341,23.39029082,4.656557655,12.52121761,39.6906448,78099.766,18.83557768,2.792954276,62287397
