Time,Country,GDP,HCI,Pop,CO2
1997,United States,8580000000000, ,272657000,5368715
1998,Argentina,299000000000, ,36063459,139815
1998,Australia,399000000000, ,18711000,316884
1998,Brazil,864000000000, ,169785250,312289
1998,Canada,632000000000, ,30155173,506534
1998,China,1030000000000, ,1241935000,3324345
1998,France,1500000000000, ,60186288,377444
1998,Germany,2240000000000, ,82047195,855364
1998,India,421000000000, ,1019483581,936222
1998,Indonesia,95445547873, ,205724592,214200
1998,Italy,1270000000000, ,56906744,440154
1998,Japan,4030000000000, ,126400000,1157830
1998,Mexico,527000000000, ,96056321,389087
1998,Russian Federation,271000000000, ,147670692,1495505
1998,Saudi Arabia,147000000000, ,19783304,207681
1998,South Africa,138000000000, ,43682260,377727
1998,Turkey,276000000000, ,61329676,200614
1998,United Kingdom,1640000000000, ,58487141,531906
1998,United States,9060000000000, ,275854000,5401011
1999,Argentina,284000000000, ,36467218,146984
1999,Australia,389000000000, ,18926000,325344
1999,Brazil,599000000000, ,172318675,320173
1999,Canada,676000000000, ,30401286,515390
1999,China,1090000000000, ,1252735000,3318056
1999,France,1490000000000, ,60496718,368919
1999,Germany,2200000000000, ,82100243,822460
1999,India,459000000000, ,1038058156,995767
1999,Indonesia,140000000000, ,208615169,241989
1999,Italy,1250000000000, ,56916317,441998
1999,Japan,4560000000000, ,126631000,1196516
1999,Mexico,600000000000, ,97484832,391592
1999,Russian Federation,196000000000, ,147214392,1531130
1999,Saudi Arabia,162000000000, ,20194527,226459
1999,South Africa,137000000000, ,44338543,375237
1999,Turkey,256000000000, ,62287397,196771
1999,United Kingdom,1670000000000, ,58682466,530938
1999,United States,9630000000000, ,279040000,5504669
2000,Argentina,284000000000, ,36870787,142137
2000,Australia,415000000000, ,19153000,329443
2000,Brazil,655000000000, ,174790340,327984
2000,Canada,742000000000, ,30685730,534381
2000,China,1210000000000, ,1262645000,3405180
2000,France,1360000000000, ,60912500,362226
2000,Germany,1950000000000, ,82211508,829978
2000,India,468000000000, ,1056575549,1031853
2000,Indonesia,165000000000, ,211513823,263419
2000,Italy,1140000000000, ,56942108,450564
2000,Japan,4890000000000, ,126843000,1220528
2000,Mexico,708000000000, ,98899845,398383
2000,Russian Federation,260000000000, ,146596557,1557899
2000,Saudi Arabia,190000000000, ,20663843,296935
2000,South Africa,136000000000, ,44967708,378665
2000,Turkey,273000000000, ,63240194,216151
2000,United Kingdom,1650000000000, ,58892514,541785
2000,United States,10300000000000, ,282162411,5693685
2001,Argentina,269000000000, ,37275652,133721
2001,Australia,378000000000, ,19413000,324845
